task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	9c/e7a178	53459	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k16_bird_S11)	CACHED	0	2024-08-04 01:41:32.543	6m 54s	6m 54s	-	-	-	-	-
14	b4/fa3392	56335	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k14_bird_S9)	CACHED	0	2024-08-04 01:48:09.850	2m 27s	2m 27s	-	-	-	-	-
25	57/b60006	55125	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k19_bird_S14)	CACHED	0	2024-08-04 01:43:04.759	2m 28s	2m 28s	-	-	-	-	-
30	73/b9c9ff	53834	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k23_bird_S18)	CACHED	0	2024-08-04 01:41:34.779	6m 52s	6m 52s	-	-	-	-	-
29	69/30a9dd	59187	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k21_bird_S16)	CACHED	0	2024-08-04 01:49:08.863	1m 37s	1m 37s	-	-	-	-	-
9	d6/208265	53628	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k12_bird_S7)	CACHED	0	2024-08-04 01:41:34.027	7m 35s	7m 34s	-	-	-	-	-
20	cd/548b5c	41277	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k18_bird_S13)	CACHED	0	2024-08-04 00:38:16.792	5m 50s	5m 50s	-	-	-	-	-
32	dc/18dd2a	53479	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k24_bird_S19)	CACHED	0	2024-08-04 01:41:32.876	6m 54s	6m 54s	-	-	-	-	-
45	31/5c8a95	56218	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k8_bird_S3)	CACHED	0	2024-08-04 01:47:52.810	2m 42s	2m 34s	-	-	-	-	-
35	71/25df00	53472	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k24_bird_S19)	CACHED	0	2024-08-04 01:41:32.704	1m 32s	1m 32s	-	-	-	-	-
15	3a/e08db4	53513	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k15_bird_S10)	CACHED	0	2024-08-04 01:41:33.483	6m 54s	6m 54s	-	-	-	-	-
4	84/f2777a	53442	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on PLmix2_S2)	CACHED	0	2024-08-04 01:41:32.154	3m 51s	3m 51s	-	-	-	-	-
33	85/3cdb24	55765	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k23_bird_S18)	CACHED	0	2024-08-04 01:45:23.627	2m 46s	2m 46s	-	-	-	-	-
19	ab/8fc41c	53546	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k16_bird_S11)	CACHED	0	2024-08-04 01:41:33.693	2m 13s	2m 13s	-	-	-	-	-
11	45/b2e325	53532	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k13_bird_S8)	CACHED	0	2024-08-04 01:41:33.603	7m 5s	7m 5s	-	-	-	-	-
18	ce/8909e6	54051	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k17_bird_S12)	CACHED	0	2024-08-04 01:41:35.064	7m 3s	7m 3s	-	-	-	-	-
2	b4/ea6f9b	53465	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on plasm2mix2_S1)	CACHED	0	2024-08-04 01:41:32.634	4m 24s	4m 24s	-	-	-	-	-
24	91/2a1d39	54006	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k20_bird_S15)	CACHED	0	2024-08-04 01:41:35.028	7m 34s	7m 34s	-	-	-	-	-
44	67/7cfc8e	53787	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k9_bird_S4)	CACHED	0	2024-08-04 01:41:34.596	6m 52s	6m 52s	-	-	-	-	-
26	16/f96e84	53987	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k21_bird_S16)	CACHED	0	2024-08-04 01:41:34.975	6m 52s	6m 52s	-	-	-	-	-
16	4b/aca67f	59389	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k15_bird_S10)	CACHED	0	2024-08-04 01:49:53.524	3m 22s	3m 10s	-	-	-	-	-
34	d8/98852a	53495	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k25_bird_S20)	CACHED	0	2024-08-04 01:41:33.066	7m 3s	7m 3s	-	-	-	-	-
31	47/a00c95	59487	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k22_bird_S17)	CACHED	0	2024-08-04 01:50:34.634	2m 37s	2m 32s	-	-	-	-	-
41	04/eb9460	59279	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k28_bird_S22)	CACHED	0	2024-08-04 01:49:34.204	1m 52s	1m 52s	-	-	-	-	-
6	e3/3970e1	55955	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k10_bird_S5)	CACHED	0	2024-08-04 01:45:57.578	4m 12s	2m 28s	-	-	-	-	-
3	bb/fd7600	53555	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on PLmix2_S2)	CACHED	0	2024-08-04 01:41:33.785	15m 50s	15m 50s	-	-	-	-	-
28	cf/7e254e	53578	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k22_bird_S17)	CACHED	0	2024-08-04 01:41:33.898	6m 54s	6m 53s	-	-	-	-	-
42	45/d693d4	53748	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k8_bird_S3)	CACHED	0	2024-08-04 01:41:34.467	7m 4s	7m 4s	-	-	-	-	-
7	8e/62a2bc	54069	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k11_bird_S6)	CACHED	0	2024-08-04 01:41:35.259	7m 3s	7m 3s	-	-	-	-	-
21	d8/48208f	56203	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k17_bird_S12)	CACHED	0	2024-08-04 01:47:44.911	2m 8s	1m 52s	-	-	-	-	-
8	c3/07683b	55225	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k11_bird_S6)	CACHED	0	2024-08-04 01:43:47.696	1m 44s	1m 44s	-	-	-	-	-
46	b6/015278	55233	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k9_bird_S4)	CACHED	0	2024-08-04 01:43:48.275	1m 47s	1m 46s	-	-	-	-	-
38	2b/d03582	54203	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k28_bird_S22)	CACHED	0	2024-08-04 01:41:35.659	7m 29s	7m 29s	-	-	-	-	-
22	1c/a783fa	53691	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k19_bird_S14)	CACHED	0	2024-08-04 01:41:34.243	7m 11s	7m 11s	-	-	-	-	-
37	48/649bf0	55148	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k25_bird_S20)	CACHED	0	2024-08-04 01:43:12.906	2m 45s	2m 14s	-	-	-	-	-
43	b3/043e1e	53449	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k30_bird_S23)	CACHED	0	2024-08-04 01:41:32.360	1m 38s	1m 38s	-	-	-	-	-
13	2d/ad4e28	54113	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k14_bird_S9)	CACHED	0	2024-08-04 01:41:35.442	7m 13s	7m 13s	-	-	-	-	-
12	eb/4f4a2d	56041	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:TRIM_ADAPT (Fastp on k13_bird_S8)	CACHED	0	2024-08-04 01:46:34.438	3m 25s	3m 16s	-	-	-	-	-
36	7f/26c637	53715	taxonomy_analysis_simple:TAXONOMY_ANALYSIS_SIMPLE:FQ1 (FastQC on k26_bird_S21)	CACHED	0	2024-08-04 01:41:34.341	10m 28s	10m 28s	-	-	-	-	-
